date,Open,High,Low,Close,BBandMA2,RSI6,RSI12,ADX2,three_openposition,openposition
2011/1/3,9000,9030,8995,9020,9003.5,0.88,0.80,86.63,-530,11371
2011/1/4,9030,9030,8974,8976,8998,0.70,0.72,57.84,-2363,10957
2011/1/5,8967,9005,8791,8839,8907.5,0.39,0.53,69.7,-5802,8923
2011/1/6,8859,8876,8815,8868,8853.5,0.45,0.56,75.64,-6051,8714
2011/1/7,8866,8883,8727,8753,8810.5,0.31,0.45,84.34,-6195,5327
2011/1/10,8753,8799,8735,8787,8770,0.38,0.48,88.69,-4916,3683
2011/1/11,8779,8950,8760,8940,8863.5,0.60,0.60,76.04,2271,9369
2011/1/12,8960,9003,8945,8965,8952.5,0.63,0.61,76.35,444,11726
2011/1/13,8998,9017,8916,8969,8967,0.63,0.62,51.41,121,11939
2011/1/14,8965,8981,8931,8969,8969,0.63,0.62,38.95,-789,11424
2011/1/17,8993,9002,8914,8920,8944.5,0.52,0.56,49.31,-3632,10841
2011/1/18,8920,9012,8871,8973,8946.5,0.61,0.60,46.63,505,15016
2011/1/19,8988,9085,8984,9083,9028,0.73,0.67,50.85,26,5715
2011/1/20,9018,9032,8996,9007,9045,0.58,0.59,52.95,-2896,5798
2011/1/21,8970,8975,8858,8906,8956.5,0.43,0.51,63.97,-6674,4461
2011/1/24,8923,8956,8910,8944,8925,0.49,0.54,69.48,-5584,4941
2011/1/25,8994,9029,8965,8967,8955.5,0.53,0.55,53.21,-5531,6079
2011/1/26,8970,9073,8970,9051,9009,0.64,0.61,58.8,-1189,7323
2011/1/27,9086,9126,9068,9103,9077,0.69,0.64,70.71,-64,9436
2011/1/28,9112,9140,9094,9136,9119.5,0.72,0.66,78.51,-1433,9794
2011/2/8,9186,9196,9062,9099,9117.5,0.64,0.62,86.73,-4987,10897
2011/2/9,9071,9109,8975,9012,9055.5,0.48,0.54,60.41,-8941,11441
2011/2/10,8971,8983,8817,8823,8917.5,0.29,0.41,70.52,-17263,8434
2011/2/11,8818,8827,8523,8564,8693.5,0.17,0.30,82.59,-11960,7268
2011/2/14,8625,8693,8601,8645,8604.5,0.28,0.36,88.63,-10786,4879
2011/2/15,8625,8733,8531,8697,8671,0.35,0.39,92.74,-8520,2959
2011/2/16,8718,8757,8695,8719,8708,0.37,0.41,73.26,-9505,2201
2011/2/17,8651,8675,8589,8625,8672,0.31,0.37,78.75,-5418,2033
2011/2/18,8678,8845,8675,8809,8717,0.51,0.48,59.79,-4629,3231
